raceId,driverId,constructorId,grid,positionOrder,top3,year,round,circuitId,driver_nationality,driver_age,constructor_nationality,quali_position
23,5,1,4,8,0,2008,6,6,Finnish,26.598220396988363,British,4.0
23,8,6,2,9,0,2008,6,6,Finnish,28.605065023956193,Italian,2.0
23,4,4,7,10,0,2008,6,6,Spanish,26.822724161533195,French,7.0
23,18,11,11,11,0,2008,6,6,British,28.347707049965777,Japanese,12.0
23,10,7,10,12,0,2008,6,6,German,26.187542778918548,Japanese,11.0
23,15,7,8,13,0,2008,6,6,Italian,33.86721423682409,Japanese,8.0
23,2,2,12,14,0,2008,6,6,German,31.041752224503764,German,13.0
23,16,10,18,15,0,2008,6,6,German,25.36892539356605,Indian,19.0
23,3,3,6,16,0,2008,6,6,German,22.910335386721425,British,6.0
23,12,4,17,17,0,2008,6,6,Brazilian,22.833675564681723,French,17.0
23,21,10,20,18,0,2008,6,6,Italian,35.35934291581109,Indian,20.0
23,14,9,15,19,0,2008,6,6,British,37.163586584531146,Austrian,10.0
23,7,5,16,20,0,2008,6,6,French,29.23750855578371,Italian,16.0
24,9,2,2,1,1,2008,7,7,Polish,23.50171115674196,German,2.0
24,2,2,8,2,1,2008,7,7,German,31.080082135523615,German,8.0
24,14,9,13,3,1,2008,7,7,British,37.20191649555099,Austrian,13.0
24,10,7,11,4,0,2008,7,7,German,26.2258726899384,Japanese,11.0
24,13,6,6,5,0,2008,7,7,Brazilian,27.121149897330596,Italian,6.0
24,15,7,14,6,0,2008,7,7,Italian,33.90554414784394,Japanese,14.0
24,22,11,9,7,0,2008,7,7,Brazilian,36.04380561259411,Japanese,9.0
24,20,5,19,8,0,2008,7,7,German,20.933607118412045,Italian,20.0
24,5,1,7,9,0,2008,7,7,Finnish,26.636550308008214,British,7.0
24,3,3,5,10,0,2008,7,7,German,22.94866529774127,British,5.0
24,18,11,20,11,0,2008,7,7,British,28.386036960985628,Japanese,19.0
24,17,9,10,12,0,2008,7,7,Australian,31.78097193702943,Austrian,10.0
24,7,5,18,13,0,2008,7,7,French,29.27583846680356,Italian,16.0
24,21,10,17,14,0,2008,7,7,Italian,35.397672826830934,Indian,18.0
24,6,3,12,15,0,2008,7,7,Japanese,23.405886379192335,British,12.0
24,4,4,4,16,0,2008,7,7,Spanish,26.861054072553046,French,4.0
24,12,4,15,17,0,2008,7,7,Brazilian,22.872005475701574,French,15.0
24,8,6,3,18,0,2008,7,7,Finnish,28.643394934976044,Italian,3.0
24,1,1,1,19,0,2008,7,7,British,23.416837782340863,British,1.0
24,16,10,16,20,0,2008,7,7,German,25.4072553045859,Indian,17.0
25,13,6,2,1,1,2008,8,8,Brazilian,27.159479808350444,Italian,2.0
25,8,6,1,2,1,2008,8,8,Finnish,28.681724845995895,Italian,1.0
25,15,7,4,3,1,2008,8,8,Italian,33.94387405886379,Japanese,5.0
25,5,1,10,4,0,2008,8,8,Finnish,26.67488021902806,British,6.0
25,9,2,5,5,0,2008,8,8,Polish,23.540041067761805,German,7.0
25,17,9,6,6,0,2008,8,8,Australian,31.81930184804928,Austrian,8.0
25,12,4,9,7,0,2008,8,8,Brazilian,22.910335386721425,French,11.0
25,4,4,3,8,0,2008,8,8,Spanish,26.899383983572896,French,4.0
25,14,9,7,9,0,2008,8,8,British,37.24024640657084,Austrian,9.0
25,1,1,13,10,0,2008,8,8,British,23.45516769336071,British,3.0
25,10,7,8,11,0,2008,8,8,German,26.26420260095825,Japanese,10.0
25,20,5,12,12,0,2008,8,8,German,20.971937029431896,Italian,13.0
25,2,2,11,13,0,2008,8,8,German,31.11841204654346,German,12.0
25,22,11,20,14,0,2008,8,8,Brazilian,36.082135523613964,Japanese,18.0
25,6,3,15,15,0,2008,8,8,Japanese,23.444216290212182,British,16.0
25,3,3,19,16,0,2008,8,8,German,22.986995208761122,British,15.0
25,7,5,14,17,0,2008,8,8,French,29.31416837782341,Italian,14.0
25,21,10,17,18,0,2008,8,8,Italian,35.436002737850785,Indian,19.0
25,16,10,18,19,0,2008,8,8,German,25.44558521560575,Indian,20.0
25,18,11,16,20,0,2008,8,8,British,28.424366872005475,Japanese,17.0
26,1,1,4,1,1,2008,9,9,British,23.49349760438056,British,4.0
26,2,2,5,2,1,2008,9,9,German,31.156741957563312,German,5.0
26,22,11,16,3,1,2008,9,9,Brazilian,36.120465434633815,Japanese,16.0
26,8,6,3,4,0,2008,9,9,Finnish,28.720054757015742,Italian,3.0
26,5,1,1,5,0,2008,9,9,Finnish,26.713210130047912,British,1.0
26,4,4,6,6,0,2008,9,9,Spanish,26.937713894592743,French,6.0
26,15,7,14,7,0,2008,9,9,Italian,33.98220396988364,Japanese,14.0
26,6,3,15,8,0,2008,9,9,Japanese,23.482546201232033,British,15.0
26,3,3,20,9,0,2008,9,9,German,23.025325119780973,British,18.0
26,17,9,2,10,0,2008,9,9,Australian,31.857631759069132,Austrian,2.0
26,7,5,13,11,0,2008,9,9,French,29.352498288843258,Italian,13.0
26,10,7,12,12,0,2008,9,9,German,26.302532511978097,Japanese,12.0
26,13,6,9,13,0,2008,9,9,Brazilian,27.197809719370294,Italian,9.0
26,9,2,10,14,0,2008,9,9,Polish,23.578370978781656,German,10.0
26,18,11,17,15,0,2008,9,9,British,28.462696783025326,Japanese,17.0
26,12,4,7,16,0,2008,9,9,Brazilian,22.94866529774127,French,7.0
26,21,10,19,17,0,2008,9,9,Italian,35.474332648870636,Indian,20.0
26,16,10,18,18,0,2008,9,9,German,25.4839151266256,Indian,19.0
26,20,5,8,19,0,2008,9,9,German,21.010266940451746,Italian,8.0
26,14,9,11,20,0,2008,9,9,British,37.27857631759069,Austrian,11.0
27,1,1,1,1,1,2008,10,10,British,23.531827515400412,British,1.0
27,12,4,17,2,1,2008,10,10,Brazilian,22.986995208761122,French,17.0
27,13,6,2,3,1,2008,10,10,Brazilian,27.236139630390145,Italian,2.0
27,2,2,12,4,0,2008,10,10,German,31.195071868583163,German,12.0
